LICENSE#,FULL NAME,DBA NAME,LICENSE TYPE,DESCRIPTION,STATUS,PROCESSED DATE,START DATE,EXPIRE DATE,INACTIVE DATE,INSPECTOR NAME,MILESTONE DATE,MILESTONE,PROPERTY TYPE,SITE LOCATION,ZIP,COMPANY TYPE,#EMPLOYEES,#VEHICLES,#STANDS,#SEATS,#UNITS,TYPE OF BUSINESS,COUNCIL DISTRICT,BID AREA,APPLICATION DESCRIPTION,STATE LICENSE#,HOME BASED,OUTSIDE CITY,CLASS DESCRIPTION,BUSN LICENSE EXEMPT,Shape,FPEXEMPT,FPCITYFAC,CETOTALUNITS,CENSUSTRACT,HEDISCOUNT,HEPROGRAMELEMENT,HEPROGRAMELEMENTDESC,HEWATERAMOUNT,HEHAZMATAMOUNT,HEEPANUMBER,HEEVENTSTART,HEONETIMEPERMIT,HEEVENTEND,HEPERMITTYPE,HEPERMITTYPEDESC,HEEVENTNAME,HEEXEMPT,COMMENTS,OBJECTID
BU03041362,SINGHAL FAMILY TRUST,,BU,Apartment House,Active,1.28E+12,1.26E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,625 E 6TH ST,90802,TRUST,0,0,0,0,6,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,6 Units,50335
BU20317470,PHILLIP RICHARD APPLEBY,AVON HOTEL,BU,Motel,Active,1.05E+12,1.05E+12,1.55E+12,,LOVOSS,1.52E+12,Renewed,COM,127 W 5TH ST,90802,SOLE,1,0,0,0,0,Motel,1,DOWNTOWN,Change of Ownership,,No,No,Services,No,,,,0,0,,,,,,,,,,,,,,Motel,50642
BU02054117,PACIFIC CAPITAL LLC,,BU,Commercial/Industrial Space  Rental,Active,1.39E+12,1.39E+12,1.56E+12,,LOVOSS,1.52E+12,Renewed,COM,302 E ANAHEIM ST  1260-1262 Lb Blvd/310-316 E Anah,90813,LLC,0,0,0,0,0,Commercial/Industrial Space  Rental,1,,Change of Ownership,,No,No,Rental ??? Non-Residential Property,No,,,,0,0,,,,,,,,,,,,,,Commercial/Industrial,50666
BU03033350,ED VAN,,BU,Apartment House,Active,2.58E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,1702  PACIFIC AVE,90813,PARTNER,0,0,0,0,7,Apartment House,1,,New License,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,50676
BU03033364,LINDA KWOCK,,BU,Apartment House,Active,1.03E+12,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,1710  PACIFIC AVE,90813,SOLE,0,0,0,0,6,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,50677
BU03033371,HEYTHEM & ASMAA ABOUD,,BU,Apartment House,Active,1.40E+12,1.40E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,1700  PINE AVE,90813,PARTNER,0,0,0,0,6,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rental,50679
BU03036624,ANNIE SAVARIMUTHU,,BU,Apartment House,Active,1.44E+12,1.44E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,707  MAINE AVE,90813,PARTNER,0,0,0,0,4,Apartment House,1,DOWNTOWN,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rental,50685
BU03036631,MARK POGAS,,BU,Apartment House,Active,1.31E+12,1.31E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,724  LOMA VISTA DR,90813,SOLE,0,0,0,0,5,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rentals,50687
BU03036641,MARK POGAS,,BU,Apartment House,Active,1.31E+12,1.31E+12,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,734  LOMA VISTA DR,90813,SOLE,0,0,0,0,5,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,Residential Rentals,50689
BU03036651,DENNIS SOUKUP,,BU,Apartment House,Active,9.95E+11,2.58E+11,1.56E+12,,LOVOSS,1.53E+12,Renewed,COM,778  LOMA VISTA DR,90813,SOLE,0,0,0,0,4,Apartment House,1,,Change of Ownership,,No,No,Rental ??? Residential Property,No,,,,0,0,,,,,,,,,,,,,,,50690
