licenseNum,date_fetched,name,place_id,formatted_address,latitude,longitude,price_level,rating
BU20357460,4/5/19,Beach Jewelry Center,ChIJK0QPlDkx3YARPKP149cWT68,"121 Pine Ave, Long Beach, CA 90802, USA",33.7685104,-118.1926208,,4.4
BU20348284,4/5/19,Salon Shampu- Long Beach,ChIJa7froT4x3YARt70P8qu37gQ,"422 E Broadway, Long Beach, CA 90802, USA",33.7691399,-118.1871288,,4.6
BU04035981,4/5/19,J S Auto Services,ChIJuy684RUx3YARcOd9Q9DXF7U,"912 E 3rd St, Long Beach, CA 90802, USA",33.7706536,-118.1812478,,0
BU20249410,4/5/19,Payless ShoeSource,ChIJBSpngTgx3YARHb5FsWU52qQ,"201 E 5th St, Long Beach, CA 90802, USA",33.7727982,-118.1904152,1,4.1
BU03034792,4/5/19,Tom Redgate Memorial Recovery Center,ChIJ4eoDB1cx3YARYUtBym5_H3A,"1775 Chestnut Ave, Long Beach, CA 90813, USA",33.7893609,-118.1967306,,4.7
BU20200351,4/5/19,Blue Engravers Signs and Graphics,ChIJy6aXUqk23YARgezmjjShYqA,"1375 Caspian Ave, Long Beach, CA 90813, USA",33.783366,-118.212448,,4.7
BU20719040,4/5/19,ARCO,ChIJlVIfMxUx3YARY1PXB9uWOLo,"907 E 7th St, Long Beach, CA 90813, USA",33.7756024,-118.1804238,,3.9
BU20562010,4/5/19,Firestone Complete Auto Care,ChIJHZupD0cx3YARhqfXNKvd45c,"636 Locust Ave, Long Beach, CA 90802, USA",33.7750641,-118.1909047,,3.8
BU20624250,4/5/19,PCH Poultry & Market,ChIJZQ926lYx3YARbf23EgO2PfE,"1701 Magnolia Ave, Long Beach, CA 90813, USA",33.7880728,-118.1983301,,4.1
BU20124970,4/5/19,L.B. Santa Fe Garage Auto Service,ChIJo-GcJKg23YARJgfLSnr-UH4,"1581 Santa Fe Ave, Long Beach, CA 90813, USA",33.7870036,-118.2159013,,4.6
BU03093780,4/5/19,Hastings & Vaughan,ChIJCSYgMag23YARxqR2jJMxxxc,"1560 Santa Fe Ave, Long Beach, CA 90813, USA",33.78684,-118.21519,,0
BU20420170,4/5/19,Camden Harbor View Apartments,ChIJx0MKuzAx3YARkG1OX83PfZI,"40 Cedar Walk, Long Beach, CA 90802, USA",33.7660196,-118.1952135,,4.2
BU20420180,4/5/19,Camden Harbor View Apartments,ChIJx0MKuzAx3YARkG1OX83PfZI,"40 Cedar Walk, Long Beach, CA 90802, USA",33.7660196,-118.1952135,,4.2
BU04042640,4/5/19,Family Pharmacy,ChIJV1tL-UIx3YARrqI84V0D1e4,"1400 Atlantic Ave, Long Beach, CA 90813, USA",33.7836399,-118.1842845,,3.8
BU20520070,4/5/19,The Funnel House,ChIJV26-_yQx3YAR9BxF_ADj5_M,"425 Shoreline Village Drive, Long Beach, CA 90802, USA",33.7604656,-118.1914336,,4.5
BU20546530,4/5/19,Antonio's Barber Supply,ChIJP5uARkYx3YAR9o3cO9NrYN0,"742 Pine Ave, Long Beach, CA 90813, USA",33.7762001,-118.1921172,,4.4
BU20213750,4/5/19,Minuteman Press,ChIJWyWT8Ecx3YARf8_4Q8MQq5w,"137 W 5th St, Long Beach, CA 90802, USA",33.7731037,-118.1933449,2,5
BU20036540,4/5/19,Rent-A-Center,ChIJ58dF-UIx3YAR0hH6G-ccK90,"605 E Anaheim St, Long Beach, CA 90813, USA",33.782857,-118.184346,,3.6
BU20604240,4/5/19,First Class Auto,ChIJV6K7Ulsx3YARecdGkFG8WsQ,"1400 Long Beach Boulevard, Long Beach, CA 90813, USA",33.7843514,-118.1890716,,5
BU06082440,4/5/19,Neuromedical Diagnostic Group,ChIJJzEPrukz3YAROEBV6XfRq14,"1045 Atlantic Ave #719, Long Beach, CA 90813, USA",33.780047,-118.185334,,3
BU20613160,4/5/19,Shutts Fabricators,ChIJYdIpq6k23YARWM4_aJTILbg,"1632 W 15th St, Long Beach, CA 90813, USA",33.7854554,-118.2146318,,0
BU20521921,4/5/19,Maru Maki Sushi,ChIJR4Cr9z0x3YAR46nX9cIc7cM,"745 E Broadway, Long Beach, CA 90802, USA",33.7694787,-118.1825428,2,4.4
BU20326390,4/5/19,Johnny Rockets,ChIJrWDjtDkx3YARquC_Ga0IK1g,"245 Pine Ave #110, Long Beach, CA 90802, USA",33.7698844,-118.1925551,2,3.7
BU20704730,4/5/19,Poly Burgers,ChIJO7ZvxEIx3YARNk2yIC69etY,"1460 Atlantic Ave, Long Beach, CA 90813, USA",33.7847262,-118.1847681,1,4.4
BU20608350,4/5/19,Cafe Sevilla,ChIJxfZ7lzkx3YARIzO7b3L1pqY,"140 Pine Ave, Long Beach, CA 90802, USA",33.7688329,-118.192308,2,4.2
BU20440250,4/5/19,84 Welding Shop,ChIJG9RPXqY23YAR8bDcZhN2b00,"2129 W Anaheim St, Long Beach, CA 90813, USA",33.7827324,-118.2203289,,5
BU20566330,4/5/19,Harbor Custom Canvas,ChIJ8z2YT1Ix3YAROIz57ZPQqiw,"733 W Anaheim St, Long Beach, CA 90813, USA",33.7830693,-118.2029099,,4
