licenseNum,date_fetched,name,place_id,formatted_address,latitude,longitude,price_level,rating,url,website,formatted_phone_number
BU20357460,2019-05-01,Beach Jewelry Center,ChIJK0QPlDkx3YARPKP149cWT68,"121 Pine Ave, Long Beach, CA 90802, USA",33.7685104,-118.1926208,,4.4,https://maps.google.com/?cid=12632340596295836476,,(562) 437-7661
BU20348284,2019-05-01,Salon Shampu- Long Beach,ChIJa7froT4x3YARt70P8qu37gQ,"422 E Broadway, Long Beach, CA 90802, USA",33.76913989999999,-118.1871288,,4.6,https://maps.google.com/?cid=355423369737256375,http://vonbrinkleydesign.com/salon-shampu/,(562) 544-0264
BU04035981,2019-05-01,J S Auto Services,ChIJuy684RUx3YARcOd9Q9DXF7U,"912 E 3rd St, Long Beach, CA 90802, USA",33.7706536,-118.1812478,,,https://maps.google.com/?cid=13049135734814795632,,(562) 436-1955
BU20249410,2019-05-01,Payless ShoeSource,ChIJBSpngTgx3YARHb5FsWU52qQ,"201 E 5th St, Long Beach, CA 90802, USA",33.7727982,-118.1904152,1,4.1,https://maps.google.com/?cid=11878870076071722525,https://www.payless.com/stores-location/CA-LONG-BEACH-3249.html,(562) 983-0701
BU03034792,2019-05-01,Tom Redgate Memorial Recovery Center,ChIJ4eoDB1cx3YARYUtBym5_H3A,"1775 Chestnut Ave, Long Beach, CA 90813, USA",33.7893609,-118.1967306,,4.6,https://maps.google.com/?cid=8079316370342366049,http://www.bhs-inc.org/,(562) 599-8444
BU20200351,2019-05-01,Blue Engravers Signs and Graphics,ChIJy6aXUqk23YARgezmjjShYqA,"1375 Caspian Ave, Long Beach, CA 90813, USA",33.783366,-118.212448,,4.7,https://maps.google.com/?cid=11556976840893983873,https://www.facebook.com/pages/Blue-Engravers/107356075989784,(562) 983-5140
BU20562010,2019-05-01,Firestone Complete Auto Care,ChIJHZupD0cx3YARhqfXNKvd45c,"636 Locust Ave, Long Beach, CA 90802, USA",33.7750641,-118.1909047,,3.8,https://maps.google.com/?cid=10944835246836131718,https://local.firestonecompleteautocare.com/california/long-beach/636-locust-ave/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&lw_cmp=oloc_google_localmaps_maps,(562) 350-0155
BU20624250,2019-05-01,PCH Poultry & Market,ChIJZQ926lYx3YARbf23EgO2PfE,"1701 Magnolia Ave, Long Beach, CA 90813, USA",33.7880728,-118.1983301,,4.1,https://maps.google.com/?cid=17383250261035187565,http://pchpoultry.com/,(562) 436-6500
BU20124970,2019-05-01,L.B. Santa Fe Garage Auto Service,ChIJo-GcJKg23YARJgfLSnr-UH4,"1581 Santa Fe Ave, Long Beach, CA 90813, USA",33.7870036,-118.2159013,,4.7,https://maps.google.com/?cid=9102054648110057254,http://longbeachsantafegarage.com/,(562) 437-5426
BU03093780,2019-05-01,Hastings & Vaughan,ChIJCSYgMag23YARxqR2jJMxxxc,"1560 Santa Fe Ave, Long Beach, CA 90813, USA",33.78684,-118.21519,,,https://maps.google.com/?cid=1713392693024302278,https://hastingsandvaughan.com/,(562) 436-1011
BU20420170,2019-05-01,Camden Harbor View Apartments,ChIJx0MKuzAx3YARkG1OX83PfZI,"40 Cedar Walk, Long Beach, CA 90802, USA",33.7660196,-118.1952135,,4.1,https://maps.google.com/?cid=10555821582600531344,https://www.camdenliving.com/long-beach-ca-apartments/camden-harbor-view,(562) 495-2559
BU20420180,2019-05-01,Camden Harbor View Apartments,ChIJx0MKuzAx3YARkG1OX83PfZI,"40 Cedar Walk, Long Beach, CA 90802, USA",33.7660196,-118.1952135,,4.1,https://maps.google.com/?cid=10555821582600531344,https://www.camdenliving.com/long-beach-ca-apartments/camden-harbor-view,(562) 495-2559
BU04042640,2019-05-01,Family Pharmacy,ChIJw1bemewx3YARW9Y0_nWq0Gk,"1400 Atlantic Ave, Long Beach, CA 90813, USA",33.7838231,-118.1849398,,5,https://maps.google.com/?cid=7624781592891020891,http://familypharmacylongbeach.com/,(562) 591-4417
BU20520070,2019-05-01,The Funnel House,ChIJV26-_yQx3YAR9BxF_ADj5_M,"425 Shoreline Village Drive, Long Beach, CA 90802, USA",33.7604656,-118.1914336,,4.5,https://maps.google.com/?cid=17575265664208542964,http://thefunnelhouse.com/,(562) 901-1835
