licenseNum,date,yelp_name,yelp_id,image_url,is_claimed,is_closed,address,city,state,country,zip_code,price,rating,review_count,transactions,url,,
BU20640090,4/30/19,Pandanus Leaf,xn-Tq0Pz4ZyR7c9LOTIHgg,https://s3-media1.fl.yelpcdn.com/bphoto/CEQMmnj4uxtEDRWH9qVQYw/o.jpg,TRUE,FALSE,763 E Anaheim St,Long Beach,CA,US,90813,$,3.5,226,[],https://www.yelp.com/biz/pandanus-leaf-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU20357460,4/30/19,Beach Jewelry Center,8DHsGuN4VeA2zvu3XlDkMA,https://s3-media3.fl.yelpcdn.com/bphoto/AhGyKgEVNNQ3s_VanTO0iA/o.jpg,TRUE,FALSE,121 Pine Ave,Long Beach,CA,US,90802,$$,4.5,20,[],https://www.yelp.com/biz/beach-jewelry-center-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU20348284,4/30/19,Salon Shampu,yutUe8kZ_dcU3Yv-2w1ZCA,https://s3-media3.fl.yelpcdn.com/bphoto/k8i4-hJb7c_zlddLK1BS5Q/o.jpg,TRUE,FALSE,422 E Broadway,Long Beach,CA,US,90802,$$,5,35,[],https://www.yelp.com/biz/salon-shampu-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU20049460,4/30/19,"Holmes & Associates, CPAs",2UjRXeikHbE-UMjim45weg,https://s3-media1.fl.yelpcdn.com/bphoto/KQZ8sYKLpgv7pSf-MxUbOQ/o.jpg,TRUE,FALSE,400 Oceangate Ave,Long Beach,CA,US,90802,,4.5,32,[],https://www.yelp.com/biz/holmes-and-associates-cpas-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU04035981,4/30/19,J S Auto Service,6zaXOcoNcRbtO9a09h530w,,FALSE,FALSE,912 E 3rd St,Long Beach,CA,US,90802,,5,1,[],https://www.yelp.com/biz/j-s-auto-service-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU20249410,4/30/19,Payless ShoeSource,8l3BT6eO0gSuwmNJgFXKdg,https://s3-media3.fl.yelpcdn.com/bphoto/5fFa-nOq4oY0Iz8nMaT6ug/o.jpg,FALSE,FALSE,201 E 5th St,Long Beach,CA,US,90802,$$,2,3,[],https://www.yelp.com/biz/payless-shoesource-long-beach-8?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU03034792,4/30/19,Redgate Memorial Recovery Center,Durt1HZBYpaQh2TTcMxJqQ,,FALSE,FALSE,1775 Chestnut Ave,Long Beach,CA,US,90813,,2.5,3,[],https://www.yelp.com/biz/redgate-memorial-recovery-center-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU20200351,4/30/19,Blue Engravers,Zw-ei2peaukC6wdr0ZG92A,https://s3-media4.fl.yelpcdn.com/bphoto/ubsYvt1xTIiXK2qQRr3b0g/o.jpg,TRUE,FALSE,1375 Caspian Ave,Long Beach,CA,US,90813,,5,1,[],https://www.yelp.com/biz/blue-engravers-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU20640830,4/30/19,Zastrow Fence & Masonry,t9spkN_udTqMEqvuX_rbDg,https://s3-media2.fl.yelpcdn.com/bphoto/ntbgcGP9NyQMygbf_KdmeQ/o.jpg,FALSE,FALSE,,Long Beach,CA,US,90815,,5,4,[],https://www.yelp.com/biz/zastrow-fence-and-masonry-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
BU20562010,4/30/19,Firestone Complete Auto Care,HytFDoSRuIbjtGW5qc_CuQ,https://s3-media1.fl.yelpcdn.com/bphoto/1xO8dTgQoE6uo4UdkM9OkQ/o.jpg,TRUE,FALSE,636 Locust Ave,Long Beach,CA,US,90802,,3.5,105,[],https://www.yelp.com/biz/firestone-complete-auto-care-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg,,
