ID,Name,Address,Longitude,Latitude,Url,Photos,Description,Review_count,Zip_code,Search_category,
cfD6jJOjBaW-PxVuVlX76Q,Hairstyles By Yvonne,120 Maina Dr Long Beach CA US 92803,-118.0788114,33.7609359,https://www.yelp.com/biz/hairstyles-by-yvonne-long-beach-7?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,https://s3-media1.fl.yelpcdn.com/bphoto/Xx4-Sph8mprM6QR0Naecyw/o.jpg,Hair Salons hair,4,92803,Other,
rLJAGSeCB_LrMwYpS8bEpw,Rolling Video Games,Long Beach CA US 92625,-117.75506,33.70096,https://www.yelp.com/biz/rolling-video-games-long-beach?adjust_creative=O1fG-qUe_R1d8hr_AMSFHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=O1fG-qUe_R1d8hr_AMSFHA,https://s3-media3.fl.yelpcdn.com/bphoto/FeIBtiutjqcQHvCeTXIQ4Q/o.jpg,Game Truck Rental gametruckrental,69,92625,Entertainment,
bZm67HHrCDyrq2SydvqcxQ,Long Beach Airport Parking - AMPCO,4100 E Donald Douglas Ave Long Beach CA US 91808,-118.1455729,33.81836649,https://www.yelp.com/biz/long-beach-airport-parking-ampco-long-beach?adjust_creative=JB5YkPgWlmsP__VnMxW7hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=JB5YkPgWlmsP__VnMxW7hg,https://s3-media4.fl.yelpcdn.com/bphoto/6LMxgboRxhE8MkyVmgLgrw/o.jpg,Hotels & Travel hotelstravel,34,91808,Residence,
l_yc1aA2fkn0pxrF8wexdw,Fusion Martial Arts Photography,None Long Beach CA US 91311,-118.1923981,33.76671982,https://www.yelp.com/biz/fusion-martial-arts-photography-long-beach-2?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,https://s3-media3.fl.yelpcdn.com/bphoto/GoZAVbMpGgKSIHhjWiEoTQ/o.jpg,Session Photography sessionphotography,20,91311,Other,
IZG-gNsnhTTk_Npgh9OFxQ,The Long Beach Depot for Creative ReUse,320 Elm Ave Long Beach CA US 90899,-118.1875151,33.7708329,https://www.yelp.com/biz/the-long-beach-depot-for-creative-reuse-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media1.fl.yelpcdn.com/bphoto/0LBy_Rt34q3FpRkNKGKZ-g/o.jpg,Art Supplies artsupplies Thrift Stores thrift_stores,75,90899,Shopping,
ba2YizeYwy4HQN3swsTP-g,Catalina Express,320 Golden Shore Long Beach CA US 90899,-118.1988768,33.7638027,https://www.yelp.com/biz/catalina-express-long-beach?adjust_creative=JB5YkPgWlmsP__VnMxW7hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=JB5YkPgWlmsP__VnMxW7hg,https://s3-media1.fl.yelpcdn.com/bphoto/V80Q3XMdebPazAK5uEs1-g/o.jpg,Tours tours Ferries ferries,618,90899,Travel,517777
Pd_mGzLIxsmVtpuHD48H5w,PMJ Management,Long Beach CA US 90899,-118.1994171,33.76763153,https://www.yelp.com/biz/pmj-management-long-beach?adjust_creative=dgmXyeRgU7mmKImyMmvGjg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=dgmXyeRgU7mmKImyMmvGjg,https://s3-media3.fl.yelpcdn.com/bphoto/None/o.jpg,Property Management propertymgmt,1,90899,Apartment,
aqUenTk8IRV352kL1cRX2w,Call Sick on Friday,1923 E 7th St Long Beach CA US 90899,-118.1679688,33.77564621,https://www.yelp.com/biz/call-sick-on-friday-long-beach?adjust_creative=IjEePJ2K74Gkvlpvvthzaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=IjEePJ2K74Gkvlpvvthzaw,https://s3-media3.fl.yelpcdn.com/bphoto/Iuv-4gV3GTCoReOUdCik3A/o.jpg,Dance Clubs danceclubs,3,90899,Nightlife,
Zki5P29kDCISq5oMbVqfHA,Mensa Lounge & Nightclub,329 Pacific Ave Long Beach CA US 90899,-118.19413,33.77112,https://www.yelp.com/biz/mensa-lounge-and-nightclub-long-beach?adjust_creative=IjEePJ2K74Gkvlpvvthzaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=IjEePJ2K74Gkvlpvvthzaw,https://s3-media3.fl.yelpcdn.com/bphoto/None/o.jpg,Dance Clubs danceclubs Lounges lounges,4,90899,Nightlife,
qGetbOfjhMVltNrl5ihq9w,Laughing Stock Development,Long Beach CA US 90899,-118.1924,33.76673,https://www.yelp.com/biz/laughing-stock-development-long-beach?adjust_creative=IjEePJ2K74Gkvlpvvthzaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=IjEePJ2K74Gkvlpvvthzaw,https://s3-media3.fl.yelpcdn.com/bphoto/None/o.jpg,Performing Arts theater Comedy Clubs comedyclubs,4,90899,Nightlife,
